species_enc,antibiotic_enc,isolation_source_enc,mic_value,multi_drug_count,gram_stain_enc,resistance,species,antibiotic,isolation_source
3130,1,0,1.0,3,1,1,S395 Escherichia coli,AMX/AMP,Clinical Sample
3179,1,0,1.0,3,0,1,S400 E. coli,AMX/AMP,Clinical Sample
3190,1,0,1.0,0,1,0,S401 Escherichia coli,AMX/AMP,Clinical Sample
3199,1,0,1.0,1,1,0,S402 Serratia marcescens,AMX/AMP,Clinical Sample
3210,1,0,1.0,2,1,0,S403 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
3221,1,0,1.0,2,1,0,S404 Enterobacteria spp.,AMX/AMP,Clinical Sample
3232,1,0,1.0,3,1,1,S405 Citrobacter spp.,AMX/AMP,Clinical Sample
3243,1,0,1.0,2,1,1,S406 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
3254,1,0,1.0,3,1,1,S407 Escherichia coli,AMX/AMP,Clinical Sample
3263,1,0,1.0,0,1,0,S408 Citrobacter spp.,AMX/AMP,Clinical Sample
3282,1,0,1.0,3,1,0,S410 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
3292,1,0,1.0,2,1,0,S411 Citrobacter spp.,AMX/AMP,Clinical Sample
3303,1,0,1.0,2,0,0,S412 E.coi,AMX/AMP,Clinical Sample
3312,1,0,1.0,2,1,1,S413 Escherichia coli,AMX/AMP,Clinical Sample
3332,1,0,1.0,2,1,1,S415 Escherichia coli,AMX/AMP,Clinical Sample
3343,1,0,1.0,2,1,0,S416 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
3361,1,0,1.0,6,0,0,S418 E.coi,AMX/AMP,Clinical Sample
3371,1,0,1.0,2,1,1,S419 Escherichia coli,AMX/AMP,Clinical Sample
3381,1,0,1.0,9,1,1,S420 Escherichia coli,AMX/AMP,Clinical Sample
3391,1,0,1.0,4,1,1,S421 Escherichia coli,AMX/AMP,Clinical Sample
3402,1,0,1.0,3,0,1,S422 E.cli,AMX/AMP,Clinical Sample
3413,1,0,1.0,3,0,1,S423 E.coi,AMX/AMP,Clinical Sample
3424,1,0,1.0,0,0,0,S424 Morganella morganii,AMX/AMP,Clinical Sample
3434,1,0,1.0,4,1,1,S425 Escherichia coli,AMX/AMP,Clinical Sample
3445,1,0,1.0,3,0,1,S426 E. coli,AMX/AMP,Clinical Sample
3455,1,0,1.0,2,1,1,S427 Proteus mirabilis,AMX/AMP,Clinical Sample
3466,1,0,1.0,3,1,1,S428 Escherichia coli,AMX/AMP,Clinical Sample
3475,1,0,1.0,0,1,0,S429 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
3484,1,0,1.0,1,1,1,S430 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
3495,1,0,1.0,0,1,0,S431 Escherichia coli,AMX/AMP,Clinical Sample
3506,1,0,1.0,3,1,1,S432 Escherichia coli,AMX/AMP,Clinical Sample
3516,1,0,1.0,2,1,0,S433 Escherichia coli,AMX/AMP,Clinical Sample
3526,1,0,1.0,4,1,1,S434 Escherichia coli,AMX/AMP,Clinical Sample
3536,1,0,1.0,3,1,0,S435 Escherichia coli,AMX/AMP,Clinical Sample
3547,1,0,1.0,2,1,0,S436 Enterobacteria spp.,AMX/AMP,Clinical Sample
3557,1,0,1.0,1,1,0,S437 Escherichia coli,AMX/AMP,Clinical Sample
3567,1,0,1.0,2,1,0,S438 Escherichia coli,AMX/AMP,Clinical Sample
3578,1,0,1.0,2,0,1,S439 E. coli,AMX/AMP,Clinical Sample
3588,1,0,1.0,1,1,0,S440 Serratia marcescens,AMX/AMP,Clinical Sample
3598,1,0,1.0,3,1,0,S441 Escherichia coli,AMX/AMP,Clinical Sample
3608,1,0,1.0,2,1,0,S442 Escherichia coli,AMX/AMP,Clinical Sample
3618,1,0,1.0,3,0,1,S443 E. coli,AMX/AMP,Clinical Sample
3628,1,0,1.0,1,1,0,S444 Acinetobacter baumannii,AMX/AMP,Clinical Sample
3639,1,0,1.0,1,1,0,S445 Escherichia coli,AMX/AMP,Clinical Sample
3650,1,0,1.0,1,1,0,S446 Enterobacteria spp.,AMX/AMP,Clinical Sample
3661,1,0,1.0,1,0,0,S447 Prot.eus mirabilis,AMX/AMP,Clinical Sample
3672,1,0,1.0,3,0,1,S448 E.coi,AMX/AMP,Clinical Sample
3680,1,0,1.0,2,1,0,S449 Proteus mirabilis,AMX/AMP,Clinical Sample
3690,1,0,1.0,3,0,1,S450 E.cli,AMX/AMP,Clinical Sample
3699,1,0,1.0,1,1,0,S451 Enterobacteria spp.,AMX/AMP,Clinical Sample
3710,1,0,1.0,0,1,0,S452 Enterobacteria spp.,AMX/AMP,Clinical Sample
3721,1,0,1.0,2,0,1,S453 E.cli,AMX/AMP,Clinical Sample
3732,1,0,1.0,2,1,1,S454 Escherichia coli,AMX/AMP,Clinical Sample
3742,1,0,1.0,1,1,1,S455 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
3751,1,0,1.0,3,1,1,S456 Escherichia coli,AMX/AMP,Clinical Sample
3762,1,0,1.0,4,1,1,S457 Escherichia coli,AMX/AMP,Clinical Sample
3772,1,0,1.0,4,1,1,S458 Escherichia coli,AMX/AMP,Clinical Sample
3783,1,0,1.0,1,1,0,S459 Escherichia coli,AMX/AMP,Clinical Sample
3794,1,0,1.0,1,1,0,S460 Enterobacteria spp.,AMX/AMP,Clinical Sample
3805,1,0,1.0,2,1,1,S461 Escherichia coli,AMX/AMP,Clinical Sample
3815,1,0,1.0,3,0,1,S462 E. coli,AMX/AMP,Clinical Sample
3825,1,0,1.0,2,1,0,S463 Escherichia coli,AMX/AMP,Clinical Sample
3836,1,0,1.0,2,1,0,S464 Enterobacteria spp.,AMX/AMP,Clinical Sample
3847,1,0,1.0,4,1,0,S465 Escherichia coli,AMX/AMP,Clinical Sample
3857,1,0,1.0,1,1,0,S466 Enterobacteria spp.,AMX/AMP,Clinical Sample
3868,1,0,1.0,4,1,1,S467 Escherichia coli,AMX/AMP,Clinical Sample
3877,1,0,1.0,0,0,0,S468 Morganella morganii,AMX/AMP,Clinical Sample
3886,1,0,1.0,2,1,1,S469 Escherichia coli,AMX/AMP,Clinical Sample
3897,1,0,1.0,3,1,1,S470 Escherichia coli,AMX/AMP,Clinical Sample
3908,1,0,1.0,4,1,1,S471 Escherichia coli,AMX/AMP,Clinical Sample
3918,1,0,1.0,2,1,0,S472 Serratia marcescens,AMX/AMP,Clinical Sample
3929,1,0,1.0,2,1,0,S473 Citrobacter spp.,AMX/AMP,Clinical Sample
3938,1,0,1.0,1,1,0,S474 Escherichia coli,AMX/AMP,Clinical Sample
3949,1,0,1.0,1,1,1,S475 Enterobacteria spp.,AMX/AMP,Clinical Sample
3959,1,0,1.0,1,1,1,S476 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
3969,1,0,1.0,3,1,0,S477 Escherichia coli,AMX/AMP,Clinical Sample
3980,1,0,1.0,3,0,0,S478 E.coi,AMX/AMP,Clinical Sample
3991,1,0,1.0,2,1,0,S479 Escherichia coli,AMX/AMP,Clinical Sample
4009,1,0,1.0,1,1,1,S481 Citrobacter spp.,AMX/AMP,Clinical Sample
4018,1,0,1.0,0,1,0,S482 Serratia marcescens,AMX/AMP,Clinical Sample
4029,1,0,1.0,1,1,1,S483 Enterobacteria spp.,AMX/AMP,Clinical Sample
4040,1,0,1.0,2,1,0,S484 Escherichia coli,AMX/AMP,Clinical Sample
4051,1,0,1.0,2,1,1,S485 Escherichia coli,AMX/AMP,Clinical Sample
4062,1,0,1.0,1,1,1,S486 Proteus mirabilis,AMX/AMP,Clinical Sample
4072,1,0,1.0,1,1,0,S487 Citrobacter spp.,AMX/AMP,Clinical Sample
4082,1,0,1.0,1,1,1,S488 Citrobacter spp.,AMX/AMP,Clinical Sample
4093,1,0,1.0,1,1,0,S489 Proteus mirabilis,AMX/AMP,Clinical Sample
4104,1,0,1.0,1,1,1,S490 Enterobacteria spp.,AMX/AMP,Clinical Sample
4114,1,0,1.0,4,1,1,S491 Escherichia coli,AMX/AMP,Clinical Sample
4124,1,0,1.0,3,1,1,S492 Escherichia coli,AMX/AMP,Clinical Sample
4133,1,0,1.0,1,1,0,S493 Citrobacter spp.,AMX/AMP,Clinical Sample
4143,1,0,1.0,1,1,0,S494 Enterobacteria spp.,AMX/AMP,Clinical Sample
4153,1,0,1.0,4,1,1,S495 Escherichia coli,AMX/AMP,Clinical Sample
4164,1,0,1.0,2,1,1,S496 Escherichia coli,AMX/AMP,Clinical Sample
4175,1,0,1.0,1,1,1,S497 Enterobacteria spp.,AMX/AMP,Clinical Sample
4185,1,0,1.0,8,0,1,S498 E. coli,AMX/AMP,Clinical Sample
4195,1,0,1.0,0,1,0,S499 Escherichia coli,AMX/AMP,Clinical Sample
4205,1,0,1.0,1,1,1,S500 Escherichia coli,AMX/AMP,Clinical Sample
4216,1,0,1.0,1,1,0,S501 Enterobacteria spp.,AMX/AMP,Clinical Sample
4226,1,0,1.0,2,1,1,S502 Enterobacteria spp.,AMX/AMP,Clinical Sample
4236,1,0,1.0,7,1,0,S503 Escherichia coli,AMX/AMP,Clinical Sample
4244,1,0,1.0,1,1,0,S504 Proteus mirabilis,AMX/AMP,Clinical Sample
4254,1,0,1.0,1,1,0,S505 Escherichia coli,AMX/AMP,Clinical Sample
4265,1,0,1.0,1,0,0,S506 E. coli,AMX/AMP,Clinical Sample
4275,1,0,1.0,2,0,1,S507 Protus mirabilis,AMX/AMP,Clinical Sample
4286,1,0,1.0,4,1,1,S508 Enterobacteria spp.,AMX/AMP,Clinical Sample
4297,1,0,1.0,2,1,1,S509 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
4307,1,0,1.0,3,1,1,S510 Enterobacteria spp.,AMX/AMP,Clinical Sample
4315,1,0,1.0,5,1,1,S511 Escherichia coli,AMX/AMP,Clinical Sample
4324,1,0,1.0,7,1,1,S512 Escherichia coli,AMX/AMP,Clinical Sample
4334,1,0,1.0,3,1,1,S513 Escherichia coli,AMX/AMP,Clinical Sample
4345,1,0,1.0,2,1,1,S514 Escherichia coli,AMX/AMP,Clinical Sample
4355,1,0,1.0,2,1,1,S515 Escherichia coli,AMX/AMP,Clinical Sample
4366,1,0,1.0,0,1,0,S516 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
4377,1,0,1.0,4,1,1,S517 Escherichia coli,AMX/AMP,Clinical Sample
4388,1,0,1.0,2,1,0,S518 Citrobacter spp.,AMX/AMP,Clinical Sample
4397,1,0,1.0,3,1,1,S519 Enterobacteria spp.,AMX/AMP,Clinical Sample
4406,1,0,1.0,7,1,1,S520 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
4416,1,0,1.0,3,1,1,S521 Escherichia coli,AMX/AMP,Clinical Sample
4426,1,0,1.0,3,1,1,S522 Escherichia coli,AMX/AMP,Clinical Sample
4437,1,0,1.0,2,1,1,S523 Escherichia coli,AMX/AMP,Clinical Sample
4445,1,0,1.0,9,1,0,S524 Escherichia coli,AMX/AMP,Clinical Sample
4454,1,0,1.0,3,1,1,S525 Proteus mirabilis,AMX/AMP,Clinical Sample
4465,1,0,1.0,3,1,1,S526 Escherichia coli,AMX/AMP,Clinical Sample
4476,1,0,1.0,0,1,0,S527 Escherichia coli,AMX/AMP,Clinical Sample
4484,1,0,1.0,0,0,0,S528 Enter.bacteria spp.,AMX/AMP,Clinical Sample
4494,1,0,1.0,2,0,1,S529 E.coi,AMX/AMP,Clinical Sample
4505,1,0,1.0,0,0,0,S530 Morganella morganii,AMX/AMP,Clinical Sample
4515,1,0,1.0,0,0,0,S531 Morganella morganii,AMX/AMP,Clinical Sample
4525,1,0,1.0,1,1,0,S532 Serratia marcescens,AMX/AMP,Clinical Sample
4536,1,0,1.0,2,1,1,S533 Escherichia coli,AMX/AMP,Clinical Sample
4547,1,0,1.0,4,1,1,S534 Escherichia coli,AMX/AMP,Clinical Sample
4557,1,0,1.0,0,1,0,S535 Serratia marcescens,AMX/AMP,Clinical Sample
4568,1,0,1.0,3,1,1,S536 Escherichia coli,AMX/AMP,Clinical Sample
4579,1,0,1.0,2,1,0,S537 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
4590,1,0,1.0,2,1,0,S538 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
4601,1,0,1.0,1,1,0,S539 Citrobacter spp.,AMX/AMP,Clinical Sample
4611,1,0,1.0,4,1,1,S540 Escherichia coli,AMX/AMP,Clinical Sample
4632,1,0,1.0,2,1,0,S542 Citrobacter spp.,AMX/AMP,Clinical Sample
4653,1,0,1.0,6,0,1,S544 E.coi,AMX/AMP,Clinical Sample
4663,1,0,1.0,3,1,1,S545 Escherichia coli,AMX/AMP,Clinical Sample
4683,1,0,1.0,2,1,1,S547 Enterobacteria spp.,AMX/AMP,Clinical Sample
4693,1,0,1.0,4,1,0,S548 Escherichia coli,AMX/AMP,Clinical Sample
4711,1,0,1.0,5,1,0,S550 Enterobacteria spp.,AMX/AMP,Clinical Sample
4722,1,0,1.0,0,1,0,S551 Acinetobacter baumannii,AMX/AMP,Clinical Sample
4733,1,0,1.0,4,0,1,S552 E.cli,AMX/AMP,Clinical Sample
4754,1,0,1.0,3,1,1,S554 Citrobacter spp.,AMX/AMP,Clinical Sample
4765,1,0,1.0,1,0,0,S555 Protus mirabilis,AMX/AMP,Clinical Sample
4773,1,0,1.0,1,1,1,S556 Enterobacteria spp.,AMX/AMP,Clinical Sample
4782,1,0,1.0,1,1,0,S557 Proteus mirabilis,AMX/AMP,Clinical Sample
4793,1,0,1.0,3,1,1,S558 Escherichia coli,AMX/AMP,Clinical Sample
4803,1,0,1.0,3,1,1,S559 Escherichia coli,AMX/AMP,Clinical Sample
4812,1,0,1.0,2,1,1,S560 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
4823,1,0,1.0,1,1,0,S561 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
4833,1,0,1.0,2,1,0,S562 Citrobacter spp.,AMX/AMP,Clinical Sample
4844,1,0,1.0,0,1,0,S563 Serratia marcescens,AMX/AMP,Clinical Sample
4855,1,0,1.0,9,1,1,S564 Escherichia coli,AMX/AMP,Clinical Sample
4865,1,0,1.0,3,1,1,S565 Escherichia coli,AMX/AMP,Clinical Sample
4876,1,0,1.0,1,0,1,S566 Klebsie.lla pneumoniae,AMX/AMP,Clinical Sample
4887,1,0,1.0,0,0,0,S567 Enteobacteria spp.,AMX/AMP,Clinical Sample
4907,1,0,1.0,2,1,0,S569 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
4917,1,0,1.0,1,1,0,S570 Citrobacter spp.,AMX/AMP,Clinical Sample
4926,1,0,1.0,0,1,0,S571 Escherichia coli,AMX/AMP,Clinical Sample
4936,1,0,1.0,4,1,1,S572 Escherichia coli,AMX/AMP,Clinical Sample
4947,1,0,1.0,2,1,1,S573 Escherichia coli,AMX/AMP,Clinical Sample
4957,1,0,1.0,3,1,1,S574 Escherichia coli,AMX/AMP,Clinical Sample
4966,1,0,1.0,2,1,0,S575 Escherichia coli,AMX/AMP,Clinical Sample
4977,1,0,1.0,7,1,1,S576 Escherichia coli,AMX/AMP,Clinical Sample
4988,1,0,1.0,3,1,1,S577 Escherichia coli,AMX/AMP,Clinical Sample
4998,1,0,1.0,3,1,1,S578 Escherichia coli,AMX/AMP,Clinical Sample
5009,1,0,1.0,2,1,1,S579 Escherichia coli,AMX/AMP,Clinical Sample
5029,1,0,1.0,1,0,0,S581 E.coi,AMX/AMP,Clinical Sample
5039,1,0,1.0,2,1,1,S582 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
5049,1,0,1.0,3,1,1,S583 Escherichia coli,AMX/AMP,Clinical Sample
5059,1,0,1.0,3,0,1,S584 E. coli,AMX/AMP,Clinical Sample
5069,1,0,1.0,4,1,1,S585 Escherichia coli,AMX/AMP,Clinical Sample
5080,1,0,1.0,1,1,0,S586 Proteus mirabilis,AMX/AMP,Clinical Sample
5090,1,0,1.0,4,1,1,S587 Escherichia coli,AMX/AMP,Clinical Sample
5110,1,0,1.0,1,1,0,S589 Escherichia coli,AMX/AMP,Clinical Sample
5121,1,0,1.0,3,1,1,S590 Escherichia coli,AMX/AMP,Clinical Sample
5132,1,0,1.0,4,1,1,S591 Escherichia coli,AMX/AMP,Clinical Sample
5143,1,0,1.0,2,1,1,S592 Escherichia coli,AMX/AMP,Clinical Sample
5172,1,0,1.0,1,1,0,S595 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
5181,1,0,1.0,3,1,0,S596 Escherichia coli,AMX/AMP,Clinical Sample
5191,1,0,1.0,6,1,1,S597 Escherichia coli,AMX/AMP,Clinical Sample
5202,1,0,1.0,3,0,1,S598 Klbsiella pneumoniae,AMX/AMP,Clinical Sample
5213,1,0,1.0,4,1,1,S599 Escherichia coli,AMX/AMP,Clinical Sample
5223,1,0,1.0,0,1,1,S600 Escherichia coli,AMX/AMP,Clinical Sample
5243,1,0,1.0,4,1,1,S602 Escherichia coli,AMX/AMP,Clinical Sample
5254,1,0,1.0,2,1,0,S603 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
5263,1,0,1.0,3,1,1,S604 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
5274,1,0,1.0,2,0,0,S605 Enter.bacteria spp.,AMX/AMP,Clinical Sample
5283,1,0,1.0,3,1,1,S606 Escherichia coli,AMX/AMP,Clinical Sample
5293,1,0,1.0,4,1,1,S607 Escherichia coli,AMX/AMP,Clinical Sample
5304,1,0,1.0,3,1,1,S608 Escherichia coli,AMX/AMP,Clinical Sample
5312,1,0,1.0,3,1,1,S609 Escherichia coli,AMX/AMP,Clinical Sample
5323,1,0,1.0,4,1,1,S610 Escherichia coli,AMX/AMP,Clinical Sample
5344,1,0,1.0,2,1,1,S612 Enterobacteria spp.,AMX/AMP,Clinical Sample
5355,1,0,1.0,4,0,1,S613 E. coli,AMX/AMP,Clinical Sample
5366,1,0,1.0,2,0,0,S614 Morganella morganii,AMX/AMP,Clinical Sample
5376,1,0,1.0,1,0,0,S615 Proeus mirabilis,AMX/AMP,Clinical Sample
5386,1,0,1.0,4,0,1,S616 E.coi,AMX/AMP,Clinical Sample
5397,1,0,1.0,2,1,1,S617 Enterobacteria spp.,AMX/AMP,Clinical Sample
5407,1,0,1.0,2,1,0,S618 Escherichia coli,AMX/AMP,Clinical Sample
5426,1,0,1.0,4,1,1,S620 Escherichia coli,AMX/AMP,Clinical Sample
5436,1,0,1.0,1,1,1,S621 Proteus mirabilis,AMX/AMP,Clinical Sample
5447,1,0,1.0,3,1,1,S622 Escherichia coli,AMX/AMP,Clinical Sample
5465,1,0,1.0,2,1,0,S624 Escherichia coli,AMX/AMP,Clinical Sample
5476,1,0,1.0,2,1,0,S625 Escherichia coli,AMX/AMP,Clinical Sample
5486,1,0,1.0,2,1,0,S626 Citrobacter spp.,AMX/AMP,Clinical Sample
5496,1,0,1.0,1,1,0,S627 Proteus mirabilis,AMX/AMP,Clinical Sample
5507,1,0,1.0,8,1,1,S628 Escherichia coli,AMX/AMP,Clinical Sample
5516,1,0,1.0,4,1,1,S629 Escherichia coli,AMX/AMP,Clinical Sample
5525,1,0,1.0,1,1,0,S630 Escherichia coli,AMX/AMP,Clinical Sample
5536,1,0,1.0,4,1,1,S631 Escherichia coli,AMX/AMP,Clinical Sample
5547,1,0,1.0,8,0,1,S632 E. coli,AMX/AMP,Clinical Sample
5556,1,0,1.0,2,1,0,S633 Escherichia coli,AMX/AMP,Clinical Sample
5567,1,0,1.0,2,1,1,S634 Escherichia coli,AMX/AMP,Clinical Sample
